aabcfn_nft,aabcfn_ft,ampfe_nft,ampfe_ft,cafn_nft,cafn_ft,cffn_nft,cffn_ft,ckfe_nft,ckfe_ft,cmqfe_nft,cmqfe_ft,cmqgfe_nft,cmqgfe_ft,cpffn_nft,cpffn_ft,ctcfe_nft,ctcfe_ft,cvffe_nft,cvffe_ft,cvfn_nft,cvfn_ft,sub_cffn_nft,sub_cffn_ft,sub_cle_nft,sub_cle_ft,sub_cqfe_nft,sub_cqfe_ft,uvfe_nft,uvfe_ft,
11,nan,1.9518337757589643e-06,0.00012602428109958236,9.172151475352698e-05,0.0010076416125528124,0.0006791037615746304,0.0008909957982569276,0.004911548857400827,0.00019393346908441904,0.00019109094646072825,2.5621926533574995e-05,3.180822931840615e-05,9.063414541226335e-05,9.617363890740782e-05,4.252264768664192e-06,nan,8.699235485612525e-06,8.705331110129348e-06,0.0009902392055155568,6.999235930605671e-06,1.0914700750609123e-05,6.999235930605671e-06,-1593015468.9407454,4.8713221606197225e-06,5.070125387408187e-06,1.398289403746889e-05,4.935523472175742e-07,5.732761695983768e-07,1.170745945585885e-06,1.1289284974834396e-06,
12,nan,1.8086200077549407e-06,0.00014809883026928127,0.00013154993314844362,0.0013037681662353875,0.0008487223933507421,0.0012234265181082823,0.003462745215985247,0.0002536077665433064,0.0002482397823289622,3.359904224657426e-05,4.188256613559702e-05,0.0001191488978427917,0.00012533388995925477,5.922926596151369e-06,nan,1.1135466820839686e-05,1.1341658549590752e-05,0.001319128365808161,8.519116023251073e-06,1.1499341372920713e-05,8.519116023251073e-06,-1593015470.9592745,5.955434805300995e-06,6.332994927887548e-06,1.6847064692780175e-05,6.898840851908979e-07,2.3278269988530806e-06,1.381466666004804e-06,1.3951613497273295e-06,
13,nan,1.6769688740769345e-06,0.0001829198302857937,0.00017789828344701356,0.001664434044467441,0.0010660270439020608,0.0016223165429144052,0.0024948780004447335,0.0003237824037675722,0.00031595186226418716,4.3148300799554855e-05,5.4127605539865414e-05,0.00015334448887830904,0.00015978312287976426,8.093429161845713e-06,nan,1.4002589228844952e-05,1.4410361196150547e-05,0.0017116300642186651,1.0522959019163551e-05,1.2346100262285226e-05,1.0522959019163551e-05,-1593015473.2551634,7.557966908947305e-06,7.844755812636476e-06,2.004584847865305e-05,9.938838658172423e-07,4.870636521950367e-06,1.7014441200444782e-06,1.7676820029674005e-06,
14,nan,1.5576407708279578e-06,0.00023046230353720965,0.0002308899151598315,0.0020967789459604893,0.0013408319133342214,0.0020936782559272255,0.0019228317427205119,0.0004052809679183912,0.0003951466278705224,5.442634826819669e-05,6.878770315147357e-05,0.00019385024862510382,0.00019996219250090625,1.084729250197357e-05,nan,1.73388947902139e-05,1.7939897940857732e-05,0.0021725685740644983,1.3112469802083574e-05,1.3538045821758776e-05,1.3112469802083574e-05,-1593015475.804341,9.852232932206534e-06,9.642387967658891e-06,2.3599173721538008e-05,1.4444176738556963e-06,7.72117164663863e-06,2.1530011852242464e-06,2.272095596823054e-06,
15,2.47790317154413e-07,1.4514851792351907e-06,0.00029078123375232847,0.0002907219312301188,0.0026079253295400923,0.0016839404379605815,0.002643526461797212,0.001683940439359073,0.0004989240783672078,0.0004867441814234222,6.759286514709269e-05,8.611837477443802e-05,0.00024132440342527743,0.0002463119692856639,1.4273111131917437e-05,nan,2.1182474425203934e-05,2.195879111380679e-05,0.0027066971442497047,1.6398765044578725e-05,1.5174465547293133e-05,1.6398765044578725e-05,-1593015478.5747151,1.3043612563856461e-05,1.1766648878409748e-05,2.75288440745579e-05,2.087745053063435e-06,1.0602798599633408e-05,2.761686314565051e-06,2.935987530093451e-06,
16,6.353383040917814e-07,1.3594557111474327e-06,0.00036403361210292124,0.00035768993946139595,0.0032049164909392094,0.002107010980563098,0.0032778203604596433,0.0017316537502518646,0.0006055334640256309,0.0005916633392238084,8.281064606003701e-05,0.0001063843257203977,0.000296451827756315,0.0002992733393479744,1.8464085742935814e-05,nan,2.557081987894831e-05,2.6495602683994453e-05,0.003318719063183419,2.0501079360817044e-05,1.7371736083170524e-05,2.0501079360817044e-05,-1593015481.5284858,1.736864967433557e-05,1.4262294016216594e-05,3.1859048009315776e-05,2.9771988233834007e-06,1.3364396248891693e-05,3.55591363362337e-06,3.7883445214890775e-06,
17,7.383614954254053e-07,1.282628514537019e-06,0.0004504948190702744,0.0004322170503997677,0.003894654639591563,0.002622379490460302,0.004002396406967075,0.002031159215473034,0.0007259356890445743,0.0007108195041894966,0.0001002458534871861,0.00012985767935390772,0.0003599404031303786,0.00035928720456339613,2.351748753074598e-05,nan,3.054037852567153e-05,3.157892246668132e-05,0.004013308719038735,2.554503147637986e-05,2.0263719729014694e-05,2.554503147637986e-05,-1593015484.625123,2.309225447222825e-05,1.7178306459813168e-05,3.6617020428627355e-05,4.1723211404365225e-06,1.593266304570625e-05,4.5665635790743785e-06,4.858894298578402e-06,
18,8.346584989686768e-07,1.222224984435055e-06,0.0005505710126869704,0.0005148876017239487,0.004683838975425002,0.0032428430918420266,0.004822895388417042,0.002556321828013559,0.0008609656556584972,0.000845122390979305,0.00012006855188872671,0.00015681616014253904,0.0004325158098186315,0.00042679448312271797,2.953404052099396e-05,nan,3.612606099193673e-05,3.7237361817687725e-05,0.004795132656438745,3.1660420186184375e-05,2.4001542617929704e-05,3.1660420186184375e-05,-1593015487.8250043,3.050276118562574e-05,2.0568139116027953e-05,4.1833877031163904e-05,5.737338668404664e-06,1.828248396222315e-05,5.8265158739900844e-06,6.177384785136846e-06,
19,9.320051454060273e-07,1.1796400495526433e-06,0.0006648086602722165,0.0006064863428808993,0.005578903765654867,0.0039814101087143165,0.00574468823943669,0.003287513917639901,0.0010114699626482618,0.0009954736465352433,0.00014245373849885992,0.00018754108788967048,0.0005149145721503825,0.0005022361120574155,3.66172030976943e-05,nan,4.23607015989412e-05,4.3499550049716974e-05,0.005668870629656526,3.8978519871586445e-05,2.875259057520854e-05,3.8978519871586445e-05,-1593015491.0937152,3.990464544629186e-05,2.448997393127582e-05,4.754561438616522e-05,7.738851181395235e-06,2.0418217360248076e-05,7.370095580073929e-06,7.772824370961107e-06,
20,1.0329533622712014e-06,1.15647776290426e-06,0.0007939019918056069,0.0007080440941224992,0.006585956421577341,0.0048510232528172405,0.006772806308919073,0.004210052409349332,0.001178310169972816,0.001162764418718001,0.00016758332995281283,0.00022231507846964804,0.0006078751774761834,0.0005860530578484924,4.487232431408852e-05,4.6466485470501146e-05,4.9274471623872086e-05,5.039413229131769e-05,0.006639236652415831,4.762884534773383e-05,3.4698538260778775e-05,4.762884534773383e-05,-1593015494.4070122,5.160877004805638e-05,2.900700362574382e-05,5.378716211650928e-05,1.0242599452383329e-05,2.2361737804679254e-05,9.232417887036475e-06,9.672704901008803e-06,
